customer_message,agent_response,company
"Hi, I made two deposits to NIC account via MPESA but they never arrived. 1200/= (LJ14H7RP9O) and 500/= (LJ79KQZVPH)","Hi, both transactions went through, get in touch with the bank for assistance.",Safaricom_Care
As long this next train to Liverpool honours my ticket I will bid you a pleasant evening and a fond farewell,"Yes it definitely will - due to the hold-up in the mechanical ballet, we caused you to miss your connection.",LondonMidland
"I know u can’t do anything about the weather, what u can do is make sure your stranded passengers are looked after. You failed to do this & instead focus on the weather issue. Just deflecting, 1 person cust svs for 2 cancelled flights. #RyanairserviceBAprices","We appreciate how frustrating this must be for you, Sarah. We're truly sorry for the inconvenience that has been caused. ^Charlotte",British_Airways
the crew on the last flight from lax to Oakland was A1! Great job. Keep it up!,"We'd love to pass along the kudos, Marlon! Can you send us a DM with your confirmation number?",SouthwestAir
existe algún problema con el call center? Llamo y me dice que no existe el número. Necesito comunicarme con Visa Concierge,Siento lo sucedido Sebastián. Si funciona y están disponible 24/7. Por favor llámanos dsd una línea fija en Chile al (1/2),askvisa
"details sent and order ids are #406-0364172-5017979, #406-3026716-1359551, #406-3768465-7181969, #406-5134910-4823506 etc",We haven't received your details yet. Please fill your details through the link provided earlier so that we can look into,AmazonHelp
found my lost iPad and contacted me before I was even 100% sure it was lost. Soooo appreciated!,We're so glad you're being reunited! Thanks for joining us on board.,AmericanAir
"Top tip: if you buy anything a week before black Friday and it becomes cheaper, you can get the refunded difference back. That will be £20 back for my elite controller that I purchased at £119 as it is now £99. Thanks Argos","You're welcome, enjoy that £20! 😬 / Beth",ArgosHelpers
Saddens me that Skymiles are literally worth NOTHING anymore. Way to depreciate their value,Oh no sorry to hear about your disappointment with our SkyMiles program. Please let us know if there is anything that we can do to assist you? *AOS,Delta
No #Spotify app / XBOX One SmartGlass compatibility?,"1: Hey there! We're afraid that Spotify isn't supported in the SmartGladd app. We appreciate your feedback, and we'll be sure to pass.",SpotifyCares
To go with the countless reschedule attempts.,"Hello There, would you be able to delete these messages and can you dm us with this information and we will be able to assist you further. Thank you",ArgosHelpers
Didn't realise you were that old 😜😜😜😜,You're only as old as you feel 😉,VirginTrains
"Hi, thank you, but I don’t want to return it. Since the colour I got is diff but acceptable, I’d like a refund of difference in price.",We'd be happy to take a look into available options with you via phone/chat:,AmazonHelp
I took out $200 @ the Chase Bank on Alexander & this bitch only gave me back $180 hellll naw,Oh no! Have you already spoken with the branch about your concern?,ChaseSupport
You are constantly taking monthly charges from my disabled brothers account when you can't deliver to his new residential area! 4 times even after he tried cancelling 4x!😡what's going on? 1/2,"I'm sorry to hear this! Have you had a chance to reach out to us? If so, what info did we provide you?",AmazonHelp
"I totally agree. Please take steps to reduce the amount of plastic, it’s absurd. The only fruit I could find on my list that was plastic free in your store today was bananas.","Hi Michelle, thanks for your feedback on our packaging. We'll be sure to pass it on to the relevant department. Thanks.",AldiUK
", why do I keep getting charged over £20 for anything I buy from iTunes? Bought an album for £4.99 and got charged £20.67. Same thing happened a couple of weeks ago to. Why?!",Our iTunes Store team would be happy to look into this with you. Reach out to them here:,AppleSupport
I’ve just witnessed one of your security guards assault a member of the public. Who do I report this to??,"Hi there, I'm really sorry to learn that this has happened. If you could DM me which store this was, what time this was at, do you know what the colleagues name or are you able to describe them? 1/2",Tesco
I put a note in for to text me when they get here and the dood knocked wtf?,We're sorry about your experience! Please DM us your contact info and store address. Thanks!,AskPapaJohns
Thank you for early delivery life saver,😎 Glad it got to you safely. I hope you enjoy your day.,AmazonHelp
"cancelled flight, entire plane full of ppl trying to rebook w/only 2 Ticket attendants. why?",I'm really sorry to hear of the trouble! We will assist you as soon as we can!-Jordan,VirginAmerica
& I haven't sold anything in almost 2 weeks.,There are many factors that contribute to the search rank and sales. We'd love to review your account. DM us details.,AskeBay
I own an LG so called smart TV. Totally disappointed that I can't play prime video as it doesn't support flash,Could you please let us know more details regarding the model of the TV? (2/2),AmazonHelp
Anyone else flying for #Christmas? #worried,We'll be wheels up ASAP and have you on your way. Please send a quick DM with your record locator and we'll check your connection.,AmericanAir
🖕to the driver who gets my request and calls me on the phone to say he only wants to go to manhattan.,"We're really sorry to hear about this experience. Please send us a DM with the time/date of your ride, and we'd be happy to help.",AskLyft
This is the same order that said 'Order now for delivery on the 4th!' listed under 'Prime'. Arriving Saturday 7th now.,Have you ordered from Amazon UK or Amazon IT?,AmazonHelp
this is not ok. #BadService #burnt,That certainly looks a bit too toasted! Mind sharing your order number and bakery-cafe location in a DM? We'd love to help.,askpanera
"If I can't plug my Xbox One X directly into the wall outlet, is it okay to use a extension cord?",Though the wall outlet is recommended you should have no worries using the extension cord. Hope that clarifies.,XboxSupport
Does it make sense that you try to deliver my package to your own UPS Store AFTER the store closes? Now when will I get it?,I apologize for any frustration you may have experienced. If you need further assistance please send us your tracking number in a DM.,UPSHelp
Is there a way to view version history of a FOLDER? Only seeing options for file version history.,".if you need to restore your folder to a previous point in time, let us know so we can advise + assist. Thanks! 2/2",DropboxSupport
y'all need fix y'all damn towers cause my service acting up ain pay 200 for nan pussy get it right before I send shots 😂😂😂😂,We'd love to take a closer look! Please DM so we can help. *JohnWard,TMobileHelp
Your last app update for iOS broke the app. No connection error keeps showing up. #CmonMan,Can you try unintalling and reinstalling? -Jen,ChipotleTweets
"I use a Logitech Harmony universal remote to control my AppleTV. While watching live tv, I can't access the swipe menu to switch channels via the remote, any chance you can change it or add support for just a button press?","Hello! We don't support third-party/universal remotes at the moment, but we'll definitely pass along your feedback and request.",hulu_support
"I've already done that, it says the cache is corrupted and says its repairing it but then says unable to fix.",Hi! How's everything? Please let us know more about your experience here:,MicrosoftHelps
I did send another email and was directed to Authors central. I sent an email there too. Where else should I go now?,"We apologize for the hassle. We'd like to make this right for you. Kindly, drop your details here: and we'll get in touch with you soon.",AmazonHelp
"major VA wide outage, cannot get NBALEAGUE PASS, need fixed ASAP!","Let's look at this with you, Mitchell. Are you getting an error when you tune to that channel?",VerizonSupport
またやられた。 届きませんよAmazonさん。 いや、Amazonを責めるのは違うな。 10月27日に発送されて11月1日に届かないって何事？😡 4日もありゃ届くでしょ😭,ご心配をおかけしております。お届け予定日は過ぎておりますでしょうか？お届け予定日内である場合には、恐れ入りますが、いましばらくお待ちください。万が一お届け予定日を過ぎている場合には、あとにご案内するそれぞれの方法でお問い合わせください。 TN,AmazonHelp
"Between net neutrality and their security breach today, leaving seems like a way better option. what u got!?","Please send us a Direct Message, so that we can further assist you. -AM",sprintcare
- can tempered glass screen protectors be removed and replaced? (iPhone 7) Apparently breaking stuff is my thing now. 😂,Hey Allison I can get you the answers you are looking for. DM me here *KennethStone,TMobileHelp
I haven't used twitter much. I don't know about DM or how to send one,You would go to our page and select message. This sends a private message to us so that your information is not public.,Ask_Spectrum
"Yes I get what it is but in light of last E mail from o2 telling me my preferences have been updated, seems o2 cannot control use of customers information.",We understand your frustration Paul. The complaints team will contact you asap.,O2
"UGH! My keychain is NOT populating my passwords right now! I chose a safari p/w, I don't know it by heart. HOW do I add to my cell?",Help is here! Please request a password reset email here: to reconfigure your login credentials.,hulu_support
"I purchased in store, ordered online buy collected in store. Either way, it is still covered by the distance selling regulations as the purchase was made without me being offered the opportunity to review the item in advance","Hi there, Please accept my apologies for any inconvenience this may have caused. This is not the level of service argos aim to provide.-Lesley",ArgosHelpers
Bruh u really just made me pay full price for my burrito I'm tight,Did you come dressed in costume? -Tara,ChipotleTweets
I went super simple with my design this year as I'm lucky to have the exact same username for every platform! Love my new cards from!,That is a killer username! #goodcall,MOO
"Hi, I have opened my new xbox game but I want to return it, can I return it even though it's been opened?",Certainly! You can arrange a return from here:,AmazonHelp
this keeps happening to me please help and wont let me join friends,If you're still facing this issue please send us a DM to help you.,ATVIAssist
Gonna get some McNuggets after lab. 🤤,Sound like an excellent plan! We can't wait to see you!,McDonalds
"in Greensboro, NC on Lawndale, not ur fault my wife's wallet was stolen while there. Why won't u call us back or assist police?",Hi Will - We take issues like this seriously. Mind sharing some more details with us in a DM so we can look into this with our team?,askpanera
Pre booked a ticket on 12.44 Newport-Portsmouth Harbour. Coach A Seat 60. No letter on coach and no seat 60! Reason please?,"Sorry to hear this, there was a set swap due to a fault on the original train. Have you found an alternative seat? Phil.",GWRHelp
need an urgent solution on my concern I will post until that time I not get the solution how can u do this with your regular shopper,We don't have access to your Amazon order info via Twitter. Please share your (1/2),AmazonHelp
Stuck in Tacloban airport. We know the MNL-TAC has been cancelled kaya wala kami plane. Pero until now wala pa kumakausap samin or nagbibigay ng statement. 😖😫😠😡,Kindly proceed to counter for further assistance. Thanks-Sha,AirAsiaSupport
The version is 11.0.2.,Let's start by restarting your iPhone and testing to see if this issue is affected after the restart. Let us know what you find.,AppleSupport
"hello there, I'm wondering if u could tell me how to get signed in to psn it will not let me sign in, help?",Sorry for the delay. Do you still need assistance with this issue?,AskPlayStation
"Really pathetic service from Amazon,being such a big brand but quality of service is not good, they accept order then auto cancel.",Could you check for the same? (2/2),AmazonHelp
"Hw to irritate n frustrate sme1,learn frm Filed a case in court,hope thy respond to the court notice",Sorry you're upset with us. Could you let us know what went wrong?,AmazonHelp
won't let me find a game. Please fix this.,"hello, are you still experiencing issues with the connectivity, please send a DM for assistance.",ATVIAssist
do you normally cancel return flights without notification? Good job I didn't just turn up at the airport,"Hi Chris, did you miss the outbound flight without notifying us? ^Al.",British_Airways
"Why does the Bluetooth on my iPad keep turning itself on? I want it off, period, yet it seems to have other ideas.",We're here to help investigate! Which iOS version is currently running on your iPad?,AppleSupport
I turned on the find my device app and I think it is still on the plane. Is there any way for you to contact someone close to the plane? It was flight 1212,"Please report your lost item via the following link Also, please follow/DM your confirmation number and I will sent a message to the airport. *HKS",Delta
Yo I think it’s time you switch cell phne companies and leave #boostmobile,"Hi, Cube. This is not the way we want you to feel, please DM us so we can further assist you. -JM",BoostCare
There are multiple Excel files where this happened,"Thanks for the update on this matter, Gabriel - Can you have a look at your version history online and see if you’re able to locate the previous versions of your Excel files? Sign into your account → Locate the file → Select it and choose ""Version History"" → Select the. 1/2",DropboxSupport
I would if I had any sort of response! I’ve only been trying to contact anybody since 11 to locate my missing shopping!,"Hi Carina, we have been very busy and this is why we were late replying. TY - Chris",Tesco
how do we reach customer care for an order someone didnt place but received it. Not his ID is used to place order. Can u help pls.,We'd like to help with the order. Kindly get in touch with our support team here:,AmazonHelp
"I don’t know why, but McDonald’s coke is wayyyy better than coke in a can lol.","We're just following their recipe, but maybe when McD's & Coke are combined—it’s straight up delicious!",McDonalds
"Entre le 1er et 4 décembre, comment se fait-il que l'état d'avancement ne bouge pas dans le suivi?","N'ayant pas accès à votre compte depuis Twitter, le mieux serait de contacter notre SAV. Veuillez le faire via le lien suivant :",AmazonHelp
Thanks. I just booked the trip. Should I DM you the info? How does TSAPre work with an infant?,I'll be more than happy to help with this request. Please DM us your confirmation number through the following link: *AOS,Delta
"Major problem is this disappears, and I have to shut the phone off. 2nd is I can only see half the message. It’s stuck under the text bar","Besides shutting off your device, are there any other troubleshooting steps that you tried on your own? Let us know in DM.",AppleSupport
will you guys bring back the schezwan sauce again for a long period of time instead of 1 day,"Due to the limited quantity of Szechuan Sauce we were able to create, only select restaurants will have it available!",McDonalds
"The is issue of number only, I want the same number. It is not bcz of my problem that you fortified my number. You should take care of it","Sorry that we gave you a reason to be upset with us.This is a possible resolution we can provide to you. Regards, Neha L",idea_cares
y unos inútiles. Llevo 2 semanas pidiendo la recogida de un paquete y todavía no se han presentado. #inutiles #decepcion #amazonsucks,"Me apena mucho esta experiencia, Robert. Por favor reporta lo sucedido con nuestro equipo de Soporte al Cliente para verificar tu caso, ya que por este medio no contamos con acceso a tu cuenta.",AmazonHelp
help me please!,"To locate the service tag, refer the link: If it is a purchase order, then please DM the order number, registered owner's name and email address. ^KL (2/2)",DellCares
& kindly reply if your products are international and available globally but warranty is limited and only available to the origin country then WHY TO PURCHASE YOUR PRODUCTS and STOP CALLING YOU AND YOUR PRODUCTS INTERNATIONAL.,I understand that you're concerned about the warranty of the product. Warranty related clauses in the global store are determined by the manufacturer. Kindly check this link here: for further queries on global store products.,AmazonHelp
"i love 'this is justin bieber' playlist, however, can you update it with ALL OF HIS SONGS! greatly appreciated - from ALL BELIEBERS","Hey there! Our curation team are independent, but we got some medicine for that Bieber fever right here: 🙂 /TY",SpotifyCares
Is it proper etiqutte to sit in either the back or front seat? Do drivers get offended if you don't sit in the front seat?,Happy to help! Please reach out to and fill out the 4 boxes at the bottom so we can get in touch.,Uber_Support
Anyone out there had a package via or successfully delivered to #vieques 00765? Mine are sitting in a Fla warehouse.,We did get confirmation today that a lot of those areas were reopened today.,UPSHelp
Thanks to your outbound Steward for teaching me the hack to cocoa in-flight. Bringing a new friend home to complete the feels.,We always got your back! It was a pleasure having you onboard with us. Come back and see us again soon!,SouthwestAir
for some reason this fuckin commercial is always extra loud on my tv,"That's not right! To help us investigate this loud ad, pleaser reach out to us by phone or chat here:",hulu_support
dis is d number,"We apologize about that, but we don't handle over scratched card issue(s) online. This is due to security reasons. Kindly call 121 for assistance or you may visit the nearest Gloworld: SO",GloCare
"I'm trying to verify that I'm a student again but the pop up doesn't do anything, please help!","Hi Kitty, help's here! Can you try using an incognito window or a different browser? Let us know how it goes /PL",SpotifyCares
have reinstalled my Forza 7 premium edition as instructed. Not getting my vip cars each month. Help please,"Hey there, can you please DM us with a full description of the issue you 1",XboxSupport
Stephen no poinsettia are on your website,Can you advise how much you paid for them? Do you still have the receipt at all? Steven,sainsburys
A call back would be preferable!,"Sure! Once we receive your email, we'll contact you right away. Appreciate your patience.",AmazonHelp
necesito confirmar mi dirección y tarjeta de credito pero no tengo Fax para enviar la documentación necesito un email. Que hago?,(2/2) por los especialistas en cuentas. Más detalles aquí:,AmazonHelp
After 8 years and all the horrendous customer I left and am back with. iPhone 8+ and awesome Customer Service!,We are so happy to have you back in the Magenta family! *RileyRed,TMobileHelp
is it just me or you guys are having issues with LTE?,Hello! We want to help. Follow us and please send us a Direct Message in order to further assist you. -Y.F.,sprintcare
Disappointed with the poor service. My order no 215171233779 is with courier service but not delivered yet.,We're sorry to hear this. Could you please tell us if we've missed on the estimated date of delivery? (1/2),AmazonHelp
Nope this didn’t fix it. I have a zip code entered there. Same as my amazon billing account and acct,"Typically, at this point we would reach out to the app developer. When you spoke with Direct TV, what info did they provide?",AmazonHelp
"Hi, Mshwari yangu iko na shida gani?","Hi, is 0705***199 the affected number. If so share your full names, Id number plus a brief on the challenge.",Safaricom_Care
I have done this right away this is a message I get every time but no call let's wait for another 24. Hours and then will take my actions,You might have received a correspondence to your registered email address. (1/2),AmazonHelp
"Yes Tony, you still can. I got these today. 😉","So does anyone else pull the marshmallow off the cake, eat the cake and then eat the spongy, delicious marshmallow? Memory lane, indeed, but back in northern Wisconsin! -Scott",Walmart
I've already complained via your website. Not had a reply yet.,If an email was sent it can day 24-48hrs to respond vs using phone or chat which will be live. Keep us posted if needed.,AmazonHelp
RBC Rewards Offers won’t work on my app 😔,Hey Dean! Let's get our Mobile pros to take a look into this further. Please give us a call at 1-800-769-2555. Thanks,AskRBC
I have pre ordered the Xbox X and have the one and S my only worry is the lack of games we have,"Hi, you can view the Xbox One store here for games to play on your new consoles",XboxSupport
Never again y'all got me super fucked up.,Let us know if you need any assistance with your travels.,AmericanAir
If there was an option lower than 1 star for customer care i'd give it,"Oh no! That's not the experience we strive to provide! W/out posting personal/account details, please tell us more about the issue and what options we've been able to provide so far.",AmazonHelp
im gonna take u up on your satisfactory offer & return these. Theres an overwhelming taste of coconut & milk powder but no curry!,I would like to issue a refund for you and pass your comments to our supplier. Can you DM some information? 2/4,Tesco
Thanks but that's totally useless. Doesn't answer my question about DRIVERS cancelling on the rider and quotes a different currency.,We're here to help! Send us a DM with your email address so we can connect.,Uber_Support
"Well done again! It's always a joy to fly with you. Wonderful employees, service. Premium class 👍👍",Happy to see you are enjoying premium class. -Maeghan,AlaskaAir
"flight 940 from SRQ-BOS just sitting here for 2 hrs, waiting on the runway. #HappyThanksgiving #CanWeLeaveYet",It looks like your flight is delayed due to maintenance. Will have you on your way as soon as we can!,JetBlue
Coz I going Hong Kong on 10/11/17 from cnx.so my sport equipment need ask my friend bring back kul.,">> Please be advised too, that Add ons pre-booked under No Show guest will be forfeited and non-refundable and non-transferable.",AirAsiaSupport
Hey your Avios search tool is broken for USA users. It is confused between MM/DD and DD/MM date format. Please fix ASAP.,Hi. Robert. We have a UK date format of DD/MM and US date format of MM/DD. We're sorry if the format is not correct on the page you're on,British_Airways
"false commitment on delivery, also mentioned wrong information, delivery guy never contacted me on Tuesday. How could u do that?","Also, as this a social medial platform, please don't provide order details. We consider it personal information.",AmazonHelp
What you did regarding my refund this is more than year,your details as requested here: only then we'll be able to check the issue and assist you.,AmazonHelp
"Gotta luv finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online","When amending a ticket the system would show a fare that matches your previous purchase, but this may be higher",VirginTrains
"What’s the point of paying for prime membership when you have to wait 3 days now for prime stuff, poor deal for prime members and slow delivery",I am sorry to hear you are not happy with this service. Can I ask what was the dispatch and delivery date given to you on the confirmation email you received when placing this order.,AmazonHelp
"NO changes yet for the error 5 code! when is this issue going to be fixed, or any thing i can try to fix the issue on my own? We need assistance here. People pay money for a game that does not work properly!",Please send us a DM for further assistance.,ATVIAssist
Surely non-discount orders get priority though?,"Hi, Rachel! All of our orders are treated with the same loving courtesy, with the only priority being based on when the order was received. Delays can occur for many reasons, such as bad weather and carrier capacity. I sincerely apologize for any inconvenience.",AmazonHelp
"rerouted 3 times, promised rescue crew still MIA. No updates. #stranded #sux","Caroline, I am very sorry to hear about this. Our team is doing everything we can to get you to your destination. *TBW",Delta
Hi! What is the Coupon Code for the +90 points Pacers Game of yesterday? 😊,"Hi, It's 'PACERS90'! Thanks!",AskPapaJohns
My account is locked because you guys messed up and said I'm dead. I'm told 24 hrs to get my account back. Is this happening,Hi there. Sorry for your previous experience and apologize for any lapse in service you received.,AskAmex
"If i lost my phone,i have replaced my simcard,how can i get the contacts that were in the sim card?",Hi Denis. Sorry for your loss. Regrettably we do not have a record of your phonebook. We cannot get contacts recovery.,Safaricom_Care
This is was an extra $80 got me thanks,"I do hope you enjoyed your flight. Thanks for your feedback, we appreciate you taking the time to contact us.",British_Airways
"if it's ""delivery to door"" why does every driver in Hoboken area tell me they can't leave their car? Am I missing something?","That's not what we like to hear, Elysa. Contact us through so we can assist.",Uber_Support
Pretty disappointing that you chose to only allow multiple screens with Live. Not everyone needs live. But everyone does need more screens smh.,"Sorry for any frustration, Lex! We'll happily express your interest in seeing multiple streams for our on-demand service.",hulu_support
Are you guys doing anything for black friday/cyber monday?,Hi there Ivan. Please visit the following link for our great Black Friday sales: -VG,BoostCare
Went to as pusheen for the $3 burrito bowl Worth going outside,Totally worth it. -Jen,ChipotleTweets
oh dudes! There aren't 4 pillows. There's 4 packs of 2 pillows. I have now 8 pillows for £6!,Lucky you :) Early Christmas present from Morrisons! - Sonia,Morrisons
Your instructions were great👍 I'm happy I can now read msg hdrs & not give away that I have received the email. Thankyou so much; v. helpful,"We’re glad that the issue has been resolved, Ann. If there is anything else we can assist you with, please let us know. 😁👍",MicrosoftHelps
I was booked on Basic for biz trip. I really need to pick an aisle or window willing to pay - have painful knee injury pls help,"Seats are assigned on the day of travel for Basic Economy fares. If you need extra assistance for you knee, please call 800-433-7300.",AmericanAir
how long does it take to hear from them?,"We cannot give an exact time, however, an engineer will be able to answer your questions and provide the best solution. 2",AzureSupport
I need to update to the latest one but I have everything up to date up until then. And it happens randomly. Not on a specific app,"Good to know, thanks! Send us a DM, we would like to troubleshoot more from there.",AppleSupport
well well well. Here we are again. Why is service out this time?,Good morning! I would really like to help with your services. When you can plz DM your phone number and address to chat?,Ask_Spectrum
ありがとうございます*_ _),こちらこそ！気を付けていってらっしゃいませ！SK,AmazonHelp
You mean send an email?,"You can email, or contact via live chat or phone, which ever suits you best. Keep us posted.",AmazonHelp
DM sent! Thanks! 😊,we have replied you via DM.Thanks- Mariya,AirAsiaSupport
paid $30 for wifi on your airlines got the worst connection known to mankind.Couldn't do any work. Thanks for wasting my time/$,"Please reach out to our friends, Kerrie.",AmericanAir
No worries I've asked mr Jeff to do that Jeff here is the URL,Sorry for the trouble. Please share your details in the link shared earlier and we'll check this.,AmazonHelp
I am pretty sure that the navigation has been on the fritz for a week. I have reached out to customer support 3 times. No response.,Hey there! We'd like to look into this. Please DM us the phone number on your account so we can assist you further.,AskLyft
"Glo mobile network is a cheat, I bought another #100 recharge card to try it *323* is not going, still same story.","The line has been credited with N1200, dial #122*30# to check it. TT",GloCare
When did start charging you every time you speak to a customer service rep?! Wondering if I should switch carriers. 🤔,This is news to me Syda. As far as we are concerned it is free. DM us if you have questions or concerns regarding this. *KaeW,TMobileHelp
who can actually help with getting my packages delivered? no call back from local hub as promised. can someone actually help?,We're happy to assist you. Is this in regards to the same package from August? Please use this link to DM us.,UPSHelp
Guys. Today please. Xbox One X issue here. Need help.,are having along with your Gamertag? Please include verbatims of any error you are seeing. 2,XboxSupport
whats wrong w/ amazon leavin shit outside like ups.🤔,Please let us know how we can help and DM your tracking # using this link.,UPSHelp
Grosse blague la nouvelle mise à jour iOS 11.0.2! Mon tel est bloqué impossible d'utiliser le tactile impeccable 😡!,We offer support via Twitter in English. Contact us for help in your preferred language here:,AppleSupport
Amazon Have you forgotten about this case do you think you will cheat us and we will forget.?,You can choose to write back to our correspondence to check with the status of the investigation. (1/2),AmazonHelp
I understand completely. They have always avoided a lot of mainstream outlets. But still wishful thinking :-).,"We've got our fingers crossed! For anything else, just give us a shout. We'd be. /AN",SpotifyCares
been trying to book a reward flight since yesterday. Website down. Any idea when it will be fixed?,We're sorry to hear about this. What is the error message you are getting?,British_Airways
How can I fix error code 5 and 1,"Hello there, we apologize for the delay. If you are currently in need of assistance, please send us a DM. Thank you.",ATVIAssist
Why did you get rid of the feature to add a picture to your phone from the computer? That is extremely annoying!,"the listing from phone or computer to access that photo. Was this feature in the Sell Your Item form, or somewhere else?",AskeBay
"So, Customer Care team, can you live up to the Grindr greats or am I just going to get a limp dick response?",Sorry you had a bad experience! Could you please send us a DM?,KFC_UKI_Help
